Category,Phrases,Number of Words,Total Number of Letters,First Word Letters
Before and After,A Beautiful Life Jacket,4,20,1
Before and After,A Blast From The Past Present And Future,8,33,1
Before and After,"A Blast From The Past, Present, And Future",8,33,1
Before and After,A Chip Off The Old Block And Tackle,8,28,1
Before and After,A Chip Off The Old Block Party,7,24,1
Before and After,A Christmas Story For The Ages,6,25,1
Before and After,A Cure For The Common Cold Cuts,7,25,1
Before and After,A Cut Above The Rest Is History,7,25,1
Before and After,A Dream Come True Detective,5,23,1
Before and After,A Glass Of Water Buffalo,5,20,1
Before and After,A Hard Act To Follow The Leader,7,25,1
Before and After,A Hole In One-Way Ticket,5,19,1
Before and After,A Hop Skip And A Jump,6,16,1
Before and After,A House Is Not A Home On The Range,9,26,1
Before and After,A Long Shot In The Dark,6,18,1
Before and After,A Man On A Mission Statement,6,23,1
Before and After,A- No Win Situation Comedy,5,21,1
Before and After,A Nose For News Director,5,20,1
Before and After,A No-Win Situation Comedy,4,21,1
Before and After,A Quick Bite To Eat My Words,7,22,1
Before and After,A Red-Letter Day By Day,5,18,1
Before and After,A Sheepish Grin And Bear It,6,22,1
Before and After,A Shiny New Penny Marshall,5,22,1
Before and After,A Trip To Boston Baked Beans,6,23,1
Before and After,A Trip To Boston Cream Pie,6,21,1
Before and After,A Visit To The Pet Shop Boys,7,22,1
Before and After,Abraham Lincoln Nebraska,3,22,7
Before and After,Abraham Lincoln Tunnel,3,20,7
Before and After,Absent Without Leave It To Beaver,6,28,6
Before and After,Absolute Truth Is Stranger Than Fiction,6,34,8
Before and After,Accept The Fact Or Fiction,5,22,6
Before and After,Accept The Fact Or Fiction?,5,22,6
Before and After,Achievable Goal Line,3,18,10
Before and After,Acid Test Tube,3,12,4
Before and After,Act Natural Beauty,3,16,3
Before and After,Act Your Age Before Beauty,5,22,3
Before and After,Act Your Age Of Innocence,5,21,3
Before and After,Active Duty Calls,3,15,6
Before and After,Active Military Museum,3,20,6
Before and After,Adam's Apple Of My Eye,5,17,5
Before and After,Adam's Apple Pie,3,13,5
Before and After,Adam's Apple Pie A La Mode,6,20,5
Before and After,Adam's Apple Turnover,3,18,5
Before and After,Add Fuel To The Fire Extinguisher,6,28,3
Before and After,Agatha Christie Brinkley,3,22,6
Before and After,Ageless Beauty Mark,3,17,7
Before and After,Aiming High Cheekbones,3,20,6
Before and After,Air Force One In A Million,6,21,3
Before and After,Air Space Station,3,15,3
Before and After,Airport Bar Of Soap,4,16,7
Before and After,Airport Runway Model,3,18,7
Before and After,Al Green Bay,3,10,2
Before and After,Al Green Onion,3,12,2
Before and After,Al Green Turtle,3,13,2
Before and After,Alan Jackson Hole Wyoming,4,22,4
Before and After,Alexander Graham Bell Ringer,4,25,9
Before and After,Alexander The Great Balls Of Fire,6,28,9
Before and After,Alexander The Great Britain,4,24,9
Before and After,Alexander The Great Dane,4,21,9
Before and After,Alexander The Great Minds Think Alike,6,32,9
Before and After,Alexander The Great Smoky Mountains,5,31,9
Before and After,Alive And Kicking Back,4,19,5
Before and After,All For One And One For All In The Family,10,32,3
Before and After,All Hands On Deck Chairs,5,20,3
Before and After,All Rise For The Queen Bee,6,21,3
Before and After,All Roads Lead To Rome Wasn't Built In A Day,10,34,3
Before and After,All Sales Are Final Exam,5,20,3
Before and After,All The Time Zone,4,14,3
Before and After,All The World's A Stage Fright,6,24,3
Before and After,Allied Forces Beyond Our Control,5,28,6
Before and After,Almond Joy Behar,3,14,6
Before and After,Almond Joy To The World,5,19,6
Before and After,Alter Ego Trip,3,12,5
Before and After,Alton Brown And Serve Rolls,5,23,5
Before and After,Alton Brown-And-Serve Rolls,3,23,5
Before and After,Always Be Polite To A Lady Antebellum,7,31,6
Before and After,Amazing Bookstores,2,17,7
Before and After,Amazing Trick Knee,3,16,7
Before and After,Amazon Jungle Gym,3,15,6
Before and After,America The Beautiful Model,4,24,7
Before and After,America's Final Season Premiere,4,27,8
Before and After,America's Game Of Thrones,4,21,8
Before and After,American Buffalo Wings,3,20,8
Before and After,American Express Yourself,3,23,8
Before and After,American Graffiti Artist,3,22,8
Before and After,American Pie Plate,3,16,8
Before and After,American Pie Tin,3,14,8
Before and After,American Red Cross Your Heart,5,25,8
Before and After,America's Next Top Model Train Set,6,28,8
Before and After,Amusement Park Ranger,3,19,9
Before and After,Amy Grant Permission,3,18,3
Before and After,An American Werewolf In London Calling,6,33,2
Before and After,Ancient Stone Temple Pilots,4,24,7
Before and After,Ancient Times Square,3,18,7
Before and After,Andrew Dice Clay Aiken,4,19,6
Before and After,Andrew Jackson Hole Wyoming,4,24,6
Before and After,Angry Birds Of A Feather,5,20,5
Before and After,Any Given Sunday Driver,4,20,3
Before and After,Apartment Complex Carbohydrates,3,29,9
Before and After,Apocalypse Now And Again,4,21,10
Before and After,Apple Watch Very Carefully,4,23,5
Before and After,April Shower Cap,3,14,5
Before and After,Arctic Circle Of Friends,4,21,6
Before and After,Are You Ready Cash,4,15,3
Before and After,Army Major Stumbling Block,4,23,4
Before and After,Artichoke Heart Of Darkness,4,24,9
Before and After,Artichoke Heart Of The Matter,5,25,9
Before and After,Artichoke Heart Surgeon,3,21,9
Before and After,Artist's Board Of Directors,4,23,7
Before and After,Assume Identity Crisis,3,20,6
Before and After,Assumed Identity Crisis,3,21,7
Before and After,Athlete's Foot Massage,3,19,8
Before and After,Athlete's Foot Soldier,3,19,8
Before and After,Atomic Mass Audience,3,18,6
Before and After,Audio Clip Art,3,12,5
Before and After,Authorized Signature Song,3,23,10
Before and After,Baby Blue River,3,13,4
Before and After,Baby On Board Of Directors,5,22,4
Before and After,Back To Square One In A Million,7,25,4
Before and After,Back To The Future Plans,5,20,4
Before and After,Backroom Deal Me In,4,16,8
Before and After,Backward Pass The Ketchup,4,22,8
Before and After,Bacon Slice Of Pie,4,15,5
Before and After,Baking From Scratch ‘N' Sniff,5,24,6
Before and After,Baking From Scratch N Sniff,5,23,6
Before and After,Baking Powder Puff,3,16,6
Before and After,Baking Soda Fountain,3,18,6
Before and After,Balance Beam Of Light,4,18,7
Before and After,Balance Of Power Mower,4,19,7
Before and After,Bald Eagle Scout,3,14,4
Before and After,Ballet Box Of Candy,4,16,6
Before and After,Ballot Box Of Candy,4,16,6
Before and After,Bamboo Shoot The Breeze,4,20,6
Before and After,Banana Split Decision,3,19,6
Before and After,Banana Split Ends,3,15,6
Before and After,Banana Split Infinitive,3,21,6
Before and After,Banana Split Personality,3,22,6
Before and After,Banana Split Second,3,17,6
Before and After,Banana Split The Difference,4,24,6
Before and After,Bank Holiday Party,3,16,4
Before and After,Banquet Hall Of Fame,4,17,7
Before and After,Baseball Diamond Earrings,3,23,8
Before and After,Baseball Diamond In The Rough,5,25,8
Before and After,Baseball Diamond Ring,3,19,8
Before and After,Baseball Park Your Car,4,19,8
Before and After,Basketball Court Of Law,4,20,10
Before and After,Basketball Hoop Skirt,3,19,10
Before and After,Basketball Player Piano,3,21,10
Before and After,Batman & Robin Thicke,3,17,6
Before and After,Batman And Robin Thicke,4,20,6
Before and After,Batman Villain Scarecrow,3,22,6
Before and After,Batting Cage Match,3,16,7
Before and After,Batting Practice Makes Perfect,4,27,7
Before and After,Beaming With Pride Of The Irish,6,26,7
Before and After,Beautiful Maiden Voyage,3,21,9
Before and After,Beauty And The Beast Mode,5,21,6
Before and After,Beauty And The Beast Of Burden,6,25,6
Before and After,Beauty Mark My Words,4,17,6
Before and After,Beauty Mark Of Zorro,4,17,6
Before and After,Beauty Shop Online,3,16,6
Before and After,Beauty Tip Of The Iceberg,5,21,6
Before and After,Beef Stock Market,3,15,4
Before and After,Beer Nuts & Bolts,3,13,4
Before and After,Beer Nuts And Bolts,4,16,4
Before and After,Beer Tap Dancing,3,14,4
Before and After,Beginning Middle & End Zone,4,22,9
Before and After,Behind The Eight Ball Of Yarn,6,24,6
Before and After,Bellamy Young At Heart,4,19,7
Before and After,Bench Press Your Luck,4,18,5
Before and After,Bending My Knee Pads,4,17,7
Before and After,Bengal Tiger Woods,3,16,6
Before and After,Best Friends With Benefits,4,23,4
Before and After,Betty White Rice Bowl,4,18,5
